DateTime,DateTime_6hrahead,precip_pred,CRP_summed1,RAS_summed1,RKP_summed1,precip_pred,precip_pred,precip_pred,CRP_summed1,CRP_summed1,CRP_summed1,target
6/1/2020 11:00,6/1/2020 18:00,18.54,2.9,0.5,12.19,3.56,29.72,29.72,2.9,0.6,0.6,-38.86
6/1/2020 14:00,6/1/2020 21:00,1.52,57.4,60.2,86.87,18.54,3.56,29.72,2.9,2.9,0.6,0.22
6/1/2020 17:00,6/2/2020 1:00,1.52,57.4,60.2,86.87,1.52,18.54,3.56,57.4,2.9,2.9,0.82
6/1/2020 20:00,6/2/2020 4:00,0.25,1.3,4.83,1.0201,1.52,1.52,18.54,57.4,57.4,2.9,-0.45
6/2/2020 2:00,6/2/2020 9:00,4.32,0.7,0,0,0.25,1.52,1.52,1.3,57.4,57.4,4.32
6/2/2020 5:00,6/2/2020 12:00,4.32,0.7,0,0,4.32,0.25,1.52,0.7,1.3,57.4,4.32
6/2/2020 8:00,6/2/2020 15:00,2.54,0,0,0.0001,4.32,4.32,0.25,0.7,0.7,1.3,2.54
6/2/2020 11:00,6/2/2020 18:00,0.25,0,0,0.0001,2.54,4.32,4.32,0,0.7,0.7,0.25
6/2/2020 14:00,6/2/2020 21:00,0.25,0,0,0,0.25,2.54,4.32,0,0,0.7,0.25
6/2/2020 17:00,6/3/2020 0:00,0.25,0,0,0,0.25,0.25,2.54,0,0,0,0.25
6/2/2020 20:00,6/3/2020 3:00,0,0,0,0,0.25,0.25,0.25,0,0,0,0
6/2/2020 23:00,6/3/2020 6:00,0,0,0,0,0,0.25,0.25,0,0,0,0
6/3/2020 2:00,6/3/2020 9:00,0.25,0,0,0,0,0,0.25,0,0,0,0.25
6/3/2020 5:00,6/3/2020 12:00,0.25,0,0,0,0.25,0,0,0,0,0,0.25
6/3/2020 8:00,6/3/2020 15:00,1.02,0,0,0.0001,0.25,0.25,0,0,0,0,1.02
6/3/2020 11:00,6/3/2020 18:00,1.02,0,0,0.0001,1.02,0.25,0.25,0,0,0,1.02
6/3/2020 14:00,6/3/2020 21:00,0.25,0,0,0,1.02,1.02,0.25,0,0,0,0.25
6/3/2020 17:00,6/4/2020 0:00,0.25,0,0,0,0.25,1.02,1.02,0,0,0,0.25
6/3/2020 20:00,6/4/2020 3:00,0,0,0,0,0.25,0.25,1.02,0,0,0,0
6/3/2020 23:00,6/4/2020 6:00,0,0,0,0,0,0.25,0.25,0,0,0,0
6/4/2020 2:00,6/4/2020 9:00,0.25,0,0,0,0,0,0.25,0,0,0,0.25
6/4/2020 5:00,6/4/2020 12:00,0.25,0,0,0,0.25,0,0,0,0,0,0.25
6/4/2020 8:00,6/4/2020 15:00,0,0,0,0,0.25,0.25,0,0,0,0,0
6/4/2020 11:00,6/4/2020 18:00,0.25,0,0,0,0,0.25,0.25,0,0,0,0.25
6/4/2020 14:00,6/4/2020 21:00,0,0,0,0,0.25,0,0.25,0,0,0,-1.3
6/4/2020 17:00,6/5/2020 0:00,0,0,0,0,0,0.25,0,0,0,0,-1.3
6/4/2020 20:00,6/5/2020 3:00,0,1.3,0,0,0,0,0.25,0,0,0,0
6/4/2020 23:00,6/5/2020 6:00,0,1.3,0,0,0,0,0,1.3,0,0,0
6/5/2020 2:00,6/5/2020 9:00,0,0,0,0,0,0,0,1.3,1.3,0,0
6/5/2020 5:00,6/5/2020 12:00,0,0,0,0,0,0,0,0,1.3,1.3,0
6/5/2020 8:00,6/5/2020 15:00,0,0,0,0,0,0,0,0,0,1.3,0
6/5/2020 11:00,6/5/2020 18:00,0,0,0,0,0,0,0,0,0,0,0
6/5/2020 14:00,6/5/2020 21:00,0,0,0,0,0,0,0,0,0,0,0
6/5/2020 17:00,6/6/2020 0:00,0,0,0,0,0,0,0,0,0,0,0
6/5/2020 20:00,6/6/2020 3:00,0,0,0,0,0,0,0,0,0,0,0
6/5/2020 23:00,6/6/2020 6:00,0,0,0,0,0,0,0,0,0,0,0
6/6/2020 2:00,6/6/2020 9:00,0,0,0,0,0,0,0,0,0,0,0
6/6/2020 5:00,6/6/2020 12:00,0,0,0,0,0,0,0,0,0,0,0
6/6/2020 8:00,6/6/2020 15:00,0,0,0,0,0,0,0,0,0,0,0
6/6/2020 11:00,6/6/2020 18:00,0,0,0,0,0,0,0,0,0,0,0
6/6/2020 14:00,6/6/2020 21:00,0,0,0,0,0,0,0,0,0,0,0
6/6/2020 17:00,6/7/2020 0:00,0,0,0,0,0,0,0,0,0,0,0
6/6/2020 20:00,6/7/2020 3:00,0,0,0,0.25,0,0,0,0,0,0,0
6/6/2020 23:00,6/7/2020 6:00,0,0,0,0.25,0,0,0,0,0,0,0
6/7/2020 2:00,6/7/2020 9:00,0,0,0,0,0,0,0,0,0,0,0
